
Size,Serial,Parellel OpenMP,Parellel Vectorized,Parallel MPI
0,67.4575,16.9424,16.674,22.4226
10,99.5935,24.883,24.6867,33.0733
20,147.567,36.7807,36.3195,48.7861
30,214.365,53.669,52.861,71.0175
40,295.377,74.0335,73.143,98.291
50,341.899,85.4485,84.5915,113.209
60,394.017,95.1695,94.106,126.698
70,433.926,108.757,107.421,143.996
80,492.623,121.486,119.892,160.792
90,521.305,130.076,128.334,172.207
100,535.54,134.493,132.654,178.243
110,555.55,136.565,134.69,181.284
120,547.445,137.472,135.251,183.223
130,549.215,137.294,135.853,182.537
140,557.425,137.08,135.355,182.313
150,546.415,137.005,134.888,181.619
160,541.305,136.095,134.13,180.03
170,534,133.686,132.278,177.243
180,522.915,130.832,128.966,173.542
190,511.47,127.422,125.894,168.97
200,492.716,122.817,121.289,163.061
210,474.341,116.939,115.127,155.198
220,438.348,109.371,107.757,145.207
230,407.555,100.623,98.8215,133.146
240,355.531,89.0225,87.7615,118.22
250,304.229,76.0345,75.0775,100.942
260,280.357,70.3035,69.299,93.4735
270,268.594,67.239,66.2615,89.25
280,256.644,64.221,63.2885,85.1585
290,246.522,61.7725,60.921,82.0865
300,230.294,57.606,56.665,76.459
310,208.073,52.2215,51.2215,69.1055
320,188.696,46.4434,46.0468,61.66
330,161.304,40.3764,39.7668,54.152
340,132.499,33.1824,32.8886,44.0656
350,106.448,26.6223,26.2803,35.3601
360,86.801,21.6961,21.3943,28.8104
370,80.6115,20.1714,19.8957,26.7913
380,80.494,20.253,19.8711,26.9441
390,82.6275,20.6731,20.3464,27.4213
400,91.2205,22.4838,22.1004,29.7904
410,97.8475,24.5625,24.2255,32.577
420,107.916,27.076,26.5729,35.8192
430,113.718,28.4369,28.0413,37.6784
440,108.32,27.1735,26.7977,36.0663
450,102.088,25.6278,25.1358,34.2323
460,100.549,25.1508,24.7577,33.4351
470,102.043,25.5968,25.2185,34.0115
480,101.259,25.3392,24.9444,33.7792
490,102.954,25.7724,25.4807,34.242
500,109.268,27.3243,26.9229,36.3344
510,115.376,28.9913,28.4861,38.7565
520,124.448,31.2303,30.6442,41.3548
530,130.922,32.9025,32.2814,43.5347
540,138.189,34.0652,33.4764,45.1943
550,139.117,34.8911,34.2984,46.1899
560,143.267,35.8582,35.4179,47.7891
570,150.113,37.6544,37.1001,50.0495
580,156.675,39.2399,38.5461,52.066
590,164.836,41.2715,40.6211,54.648
600,172.258,43.2608,42.6161,57.3685
610,181.851,45.4976,44.8559,60.4585
620,188.984,47.294,46.6499,62.819
630,195.279,48.7697,48.1469,64.821
640,200.627,50.5255,49.52,66.5755
650,210.607,51.8965,51.091,68.9205
660,217.037,54.2795,53.4555,72.0605
670,230.808,57.6655,56.752,76.363
680,241.375,60.519,59.479,80.1285
690,254.84,63.6885,62.8305,84.461
700,273.776,68.6125,67.723,91.324
710,292.439,73.264,72.1625,97.284
720,316.709,79.5305,78.1815,105.615
730,346.802,86.8,85.32,115.339
740,386.18,95.2265,93.6275,126.246
750,426.496,104.79,103.303,139.155
760,462.978,115.802,114.356,154.149
770,511.045,129.32,127.308,172.565
780,551.55,139.806,137.118,184.518
790,586.135,145.841,144,193.373
800,614.33,151.36,149.288,201.752
810,619.715,155.425,152.923,205.983
820,621.19,155.341,153.095,206.613
830,630.9,155.159,153.212,206.256
840,619.91,155.366,152.69,206.305
850,623.68,155.54,152.838,206.233
860,631.45,155.303,153.046,206.423
870,620.455,155.393,153.066,205.99
880,619.08,155.564,152.8,206.393
890,619.975,155.314,153.422,205.976
900,620.045,155.232,153.356,206.551
910,619.995,155.44,153.166,206.411
920,619.955,155.743,152.845,206.156
930,620.58,155.244,153.268,206.41
940,619.82,155.426,153.524,206.196
950,620.095,155.315,152.823,206.058
960,619.565,155.547,153.479,206.605
970,621.07,156.078,152.952,209.133
980,619.675,155.513,153.571,206.198
990,619.565,155.351,152.904,207.306
1000,631.895,155.326,152.924,206.27
